collection_name;catalog_element_id;status;use_license_id;optional;backup;vm_naming;commercial_name;short_name;os_family;version;type;language;architecture;description;min_mo;max_mo;ram_unlimited;min_mhz;cpu_unlimited;vcpu_min;vcpu_max;use_catalog_element_id
UCaaS CUEACs ITD;54014;available;00001;true;ImageLevel;CUEAC25S09;CUEAC UCaaS 8+25-HCS862V4-MW2;CUEAC25S09-HCS862V4-MW2;Windows 2008;ITDV1.0;CUEAC09;FR;64bits;CUEAC International huitième incrément de 25 operatrices HCS8.6.2 V4;6144;6144;true;2300;true;1;1;62
UCaaS Cisco HCS optional Call Center;1212;available;00001;true;ImageLevel;UC100CX01;UCCX01 100-HCS861V1;UC100CX01-HCS861V1;RedHat;HCS8.6.1 V1;UC100CX01;FR;32bits;UCCX01 Call Center 100 attendants HCS8.6.1 V1;4096;4096;true;900;true;2;2;""
UCaaS Cisco HCS optional Call Center;2212;available;00001;true;ImageLevel;UC100CX01;UCCX01 100-HCS862V1;UC100CX01-HCS862V1;RedHat;HCS8.6.2 V1;UC100CX01;FR;32bits;UCCX01 Call Center 100 attendants HCS8.6.2 V1;4096;4096;true;900;true;2;2;""
UCaaS Cisco HCS optional Call Center;4212;available;00001;true;ImageLevel;UC100CX01;UCCX01 100-HCS862V3;UC100CX01-HCS862V3;RedHat;HCS8.6.2 V3;UC100CX01;FR;32bits;UCCX01 Call Center 100 attendants HCS8.6.2 V3;4096;4096;true;2500;true;2;2;""
UCaaS Cisco HCS optional Call Center;5212;available;00001;true;ImageLevel;UC100CX01;UCCX01 100-HCS862V4;UC100CX01-HCS862V4;RedHat;HCS8.6.2 V4;UC100CX01;FR;32bits;UCCX01 Call Center 100 attendants HCS8.6.2 V4;4096;4096;true;2500;true;2;2;""
UCaaS Cisco HCS optional Call Center;1213;available;00001;true;ImageLevel;UC300CX01;UCCX01 300-HCS861V1;UC300CX01-HCS861V1;RedHat;HCS8.6.1 V1;UC300CX01;FR;32bits;UCCX01 Call Center 300 attendants HCS8.6.1 V1;4096;4096;true;900;true;2;2;""
UCaaS Cisco HCS optional Call Center;2213;available;00001;true;ImageLevel;UC300CX01;UCCX01 300-HCS862V1;UC300CX01-HCS862V1;RedHat;HCS8.6.2 V1;UC300CX01;FR;32bits;UCCX01 Call Center 300 attendants HCS8.6.2 V1;4096;4096;true;900;true;2;2;""
UCaaS Cisco HCS optional Call Center;4213;available;00001;true;ImageLevel;UC300CX01;UCCX01 300-HCS862V3;UC300CX01-HCS862V3;RedHat;HCS8.6.2 V3;UC300CX01;FR;32bits;UCCX01 Call Center 300 attendants HCS8.6.2 V3;4096;4096;true;2500;true;2;2;""
UCaaS Cisco HCS optional Call Center;3212;available;00001;true;ImageLevel;UC100CX01;UCCX01 100-HCS862V2;UC100CX01-HCS862V2;RedHat;HCS8.6.2 V2;UC100CX01;FR;32bits;UCCX01 Call Center 100 attendants HCS8.6.2 V2;4096;4096;true;2500;true;2;2;""
UCaaS Cisco HCS optional Call Center;3213;available;00001;true;ImageLevel;UC300CX01;UCCX01 300-HCS862V2;UC300CX01-HCS862V2;RedHat;HCS8.6.2 V2;UC300CX01;FR;32bits;UCCX01 Call Center 300 attendants HCS8.6.2 V2;4096;4096;true;2500;true;2;2;""
UCaaS Cisco HCS optional Call Center;5213;available;00001;true;ImageLevel;UC300CX01;UCCX01 300-HCS862V4;UC300CX01-HCS862V4;RedHat;HCS8.6.2 V4;UC300CX01;FR;32bits;UCCX01 Call Center 300 attendants HCS8.6.2 V4;4096;4096;true;2500;true;2;2;""
UCaaS Cisco HCS (1000 users);1500;available;00001;false;ImageLevel;UCS1000P01;UCSP01 1000-HCS861V1;UCS1000P01-HCS861V1;RedHat;HCS8.6.1 V1;UCS1000P01;FR;32bits;UCSP01 (CUCM) 1000 users HCS8.6.1 V1;4096;4096;true;800;true;1;1;""
UCaaS Cisco HCS (1000 users);2500;available;00001;false;ImageLevel;UCS1000P01;UCSP01 1000-HCS862V1;UCS1000P01-HCS862V1;RedHat;HCS8.6.2 V1;UCS1000P01;FR;32bits;UCSP01 (CUCM) 1000 users HCS8.6.2 V1;4096;4096;true;800;true;1;1;""
UCaaS Cisco HCS (1000 users);4500;available;00001;false;ImageLevel;UCS1000P01;UCSP01 1000-HCS862V3;UCS1000P01-HCS862V3;RedHat;HCS8.6.2 V3;UCS1000P01;FR;32bits;UCSP01 (CUCM) 1000 devices HCS8.6.2 V3;4096;4096;true;800;true;1;1;""
