indice;catalog_element_id;optional;vmnaming;hostnaming;commercialname;shortname;osfamily;version;type;language;architecture;description;useapplicationtypeid;minmo;maxmo;minmhz;mincpu;maxcpu;middlewareid;role;isrelay;repupgrade
63;54010;true;CUEAC25S05;CU5;CUEAC UCaaS 4+25-HCS862V4-MW2;CUEAC25S05-HCS862V4-MW2;Windows 2008;ITDV1.0;CUEAC05;FR;64bits;CUEAC International quatrieme incrément de 25 operatrices HCS8.6.2 V4;CUEAC;6144;6144;2300;1;1;62;"";;
64;54011;true;CUEAC25S06;CU6;CUEAC UCaaS 5+25-HCS862V4-MW2;CUEAC25S06-HCS862V4-MW2;Windows 2008;ITDV1.0;CUEAC06;FR;64bits;CUEAC International cinquieme incrément de 25 operatrices HCS8.6.2 V4;CUEAC;6144;6144;2300;1;1;62;"";;
65;54012;true;CUEAC25S07;CU7;CUEAC UCaaS 6+25-HCS862V4-MW2;CUEAC25S07-HCS862V4-MW2;Windows 2008;ITDV1.0;CUEAC07;FR;64bits;CUEAC International sixieme incrément de 25 operatrices HCS8.6.2 V4;CUEAC;6144;6144;2300;1;1;62;"";;
66;54013;true;CUEAC25S08;CU8;CUEAC UCaaS 7+25-HCS862V4-MW2;CUEAC25S08-HCS862V4-MW2;Windows 2008;ITDV1.0;CUEAC08;FR;64bits;CUEAC International septième incrément de 25 operatrices HCS8.6.2 V4;CUEAC;6144;6144;2300;1;1;62;"";;
67;54014;true;CUEAC25S09;CU9;CUEAC UCaaS 8+25-HCS862V4-MW2;CUEAC25S09-HCS862V4-MW2;Windows 2008;ITDV1.0;CUEAC09;FR;64bits;CUEAC International huitième incrément de 25 operatrices HCS8.6.2 V4;CUEAC;6144;6144;2300;1;1;62;"";;
68;1212;true;UC100CX01;UC100CX01;UCCX01 100-HCS861V1;UC100CX01-HCS861V1;RedHat;HCS8.6.1 V1;UC100CX01;FR;32bits;UCCX01 Call Center 100 attendants HCS8.6.1 V1;UCCX;4096;4096;900;2;2;;"";;
69;2212;true;UC100CX01;UC100CX01;UCCX01 100-HCS862V1;UC100CX01-HCS862V1;RedHat;HCS8.6.2 V1;UC100CX01;FR;32bits;UCCX01 Call Center 100 attendants HCS8.6.2 V1;UCCX;4096;4096;900;2;2;;"";;
70;4212;true;UC100CX01;UC100CX01;UCCX01 100-HCS862V3;UC100CX01-HCS862V3;RedHat;HCS8.6.2 V3;UC100CX01;FR;32bits;UCCX01 Call Center 100 attendants HCS8.6.2 V3;UCCX;4096;4096;2500;2;2;;"";;
71;5212;true;UC100CX01;UC100CX01;UCCX01 100-HCS862V4;UC100CX01-HCS862V4;RedHat;HCS8.6.2 V4;UC100CX01;FR;32bits;UCCX01 Call Center 100 attendants HCS8.6.2 V4;UCCX;4096;4096;2500;2;2;;"";;
72;1213;true;UC300CX01;UC300CX01;UCCX01 300-HCS861V1;UC300CX01-HCS861V1;RedHat;HCS8.6.1 V1;UC300CX01;FR;32bits;UCCX01 Call Center 300 attendants HCS8.6.1 V1;UCCX;4096;4096;900;2;2;;"";;
73;2213;true;UC300CX01;UC300CX01;UCCX01 300-HCS862V1;UC300CX01-HCS862V1;RedHat;HCS8.6.2 V1;UC300CX01;FR;32bits;UCCX01 Call Center 300 attendants HCS8.6.2 V1;UCCX;4096;4096;900;2;2;;"";;
74;4213;true;UC300CX01;UC300CX01;UCCX01 300-HCS862V3;UC300CX01-HCS862V3;RedHat;HCS8.6.2 V3;UC300CX01;FR;32bits;UCCX01 Call Center 300 attendants HCS8.6.2 V3;UCCX;4096;4096;2500;2;2;;"";;
75;3212;true;UC100CX01;UC100CX01;UCCX01 100-HCS862V2;UC100CX01-HCS862V2;RedHat;HCS8.6.2 V2;UC100CX01;FR;32bits;UCCX01 Call Center 100 attendants HCS8.6.2 V2;UCCX;4096;4096;2500;2;2;;"";;
76;3213;true;UC300CX01;UC300CX01;UCCX01 300-HCS862V2;UC300CX01-HCS862V2;RedHat;HCS8.6.2 V2;UC300CX01;FR;32bits;UCCX01 Call Center 300 attendants HCS8.6.2 V2;UCCX;4096;4096;2500;2;2;;"";;
77;5213;true;UC300CX01;UC300CX01;UCCX01 300-HCS862V4;UC300CX01-HCS862V4;RedHat;HCS8.6.2 V4;UC300CX01;FR;32bits;UCCX01 Call Center 300 attendants HCS8.6.2 V4;UCCX;4096;4096;2500;2;2;;"";;
78;1500;false;UCS1000P01;UCS1000P01;UCSP01 1000-HCS861V1;UCS1000P01-HCS861V1;RedHat;HCS8.6.1 V1;UCS1000P01;FR;32bits;UCSP01 (CUCM) 1000 users HCS8.6.1 V1;CUCM;4096;4096;800;1;1;;P;;
79;2500;false;UCS1000P01;UCS1000P01;UCSP01 1000-HCS862V1;UCS1000P01-HCS862V1;RedHat;HCS8.6.2 V1;UCS1000P01;FR;32bits;UCSP01 (CUCM) 1000 users HCS8.6.2 V1;CUCM;4096;4096;800;1;1;;P;;
80;4500;false;UCS1000P01;UCS1000P01;UCSP01 1000-HCS862V3;UCS1000P01-HCS862V3;RedHat;HCS8.6.2 V3;UCS1000P01;FR;32bits;UCSP01 (CUCM) 1000 devices HCS8.6.2 V3;CUCM;4096;4096;800;1;1;;P;;
